"chr","start","end","width","nCpGs","minFDR","Stouffer","maxdiff","meandiff","overlapping_genes"
"chr1",61606590,61606796,207,2,3.4769377687792e-10,1.44918547650608e-06,-0.0111712244897225,-0.00965375583228564,""
"chr2",181679580,181681044,1465,15,3.57402988822924e-10,2.43170884590203e-09,0.00562841125696597,0.00232519287213413,"CERKL, NEUROD1"
"chr12",46442633,46443432,800,2,3.66798272882033e-10,0.00539041845959542,-0.00560228110799404,-0.00280136676718448,"AC008014.1"
"chr4",157075030,157077049,2020,18,3.69406097781521e-10,7.92004748925384e-10,0.00678063655197487,0.00252036787238572,"GLRB"
"chr19",6767428,6768240,813,8,4.09066832903117e-10,7.23692184333857e-07,0.00748460598085604,0.00459958606582432,"SH2D3A"
"chr15",78871730,78873037,1308,8,4.2931229895365e-10,2.6978703919662e-05,0.00917313105567851,0.00274688745932882,"MORF4L1"
"chr10",7472111,7472501,391,4,4.32199063289489e-10,4.00786726684565e-07,-0.00812856667330787,-0.00534813483176928,""
"chr1",203351062,203351959,898,12,4.54080178936663e-10,6.42680307632678e-09,-0.0105459975265231,-0.00679946561463832,"FMOD"
"chr15",92595915,92596837,923,10,4.54730092913374e-10,3.64311558445885e-08,-0.00814853335684686,-0.0053383396314478,"AC091544.2, AC091544.4"
"chr10",132407463,132409003,1541,10,4.94926857478353e-10,0.000332072033076715,-0.00866488306386115,-0.00356427745713018,"PWWP2B"
"chr5",115961993,115963391,1399,15,5.03560347759732e-10,0.000131347938437854,0.00869201834817277,0.00340552392503913,"LVRN"
"chr12",84912242,84913819,1578,17,5.48619278726529e-10,0.000365170928088297,0.00634637423920411,0.0021060692058523,"SLC6A15"
"chr19",12956375,12956869,495,5,5.49428469317445e-10,1.44918547650608e-06,0.008632978695234,0.00555717038830044,"GADD45GIP1"
"chr8",108082881,108084178,1298,15,6.25799387196847e-10,8.14986782901802e-06,0.00682490797828862,0.00224788237046532,"RSPO2"
"chr7",94654946,94656681,1736,50,6.37545764923792e-10,1.06752375244831e-09,0.0065056309708209,0.00127491262710645,"PEG10, SGCE"
"chr6",112439077,112439250,174,3,6.51679828836711e-10,2.29629089295974e-07,-0.0096914069986844,-0.00888609479875675,""
"chr8",133407092,133407438,347,3,6.51679828836711e-10,2.32849633753159e-07,-0.00981738992969058,-0.00826565889743849,""
"chr3",52533617,52535736,2120,11,6.51795360895978e-10,5.34177334003418e-08,0.00842482014227491,0.00497858898879302,"SMIM4, NT5DC2"
"chr3",189630025,189632340,2316,12,6.59569222631136e-10,2.88973024108406e-10,-0.0094521443446605,-0.00610774008577248,"TP63"
"chr12",109458690,109460139,1450,9,6.83704625376328e-10,1.64546805959121e-07,-0.00810453795966959,-0.00531466369362051,"KCTD10"
"chr7",55127585,55127877,293,3,7.69236932611675e-10,2.93900981825416e-05,-0.0107700586937216,-0.00753578636679924,"EGFR"
"chr13",91397809,91399322,1514,14,8.82456205217507e-10,0.00202730601881654,0.00890754883486734,0.00260043126695563,"GPC5"
"chr9",2241249,2242173,925,9,9.19085293047824e-10,1.54540302104148e-06,0.00781498251049078,0.00340345426118615,""
"chr16",68447146,68449651,2506,21,9.29669537964351e-10,1.08613554800682e-07,0.00960701375419728,0.00309024999929779,"AC099521.3, SMPD3"
"chr14",75831633,75833026,1394,6,9.55472866365746e-10,1.99169339363824e-09,-0.00889266819531262,-0.00706721291602238,"TTLL5, AF107885.2"
"chr3",33659198,33660215,1018,12,9.80142128287348e-10,3.41397748267996e-08,0.00783859935214324,0.00511060204029412,"CLASP2"
"chr21",41895409,41896596,1188,6,9.9460891538264e-10,4.13528510597479e-09,-0.009347889478063,-0.00673942152982766,"C2CD2"
"chr6",127518677,127519659,983,17,1.15534359887095e-09,1.55842115494787e-07,0.00426696001936753,0.00176708574843474,"C6orf58, AL096711.2, SOGA3"
"chr8",84182511,84184633,2123,14,1.17106703993434e-09,3.07017451429393e-06,0.0103736354792157,0.00280601756697374,"RALYL"
"chr13",106416840,106417870,1031,4,1.29161250284131e-09,1.71461368124428e-07,-0.00893280995102637,-0.00803923302973859,""
"chr12",130336908,130338273,1366,13,1.30809974728087e-09,3.67417998753807e-06,0.00925521042023628,0.00400054974637601,"PIWIL1"
"chr17",7557373,7559419,2047,16,1.30910094126106e-09,2.10322959805752e-10,-0.00808763378471392,-0.00362823874659604,"TNFSF12, TNFSF12-TNFSF13, TNFSF13, AC016876.3"
"chr3",184319342,184320935,1594,13,1.68846762739695e-09,8.13526941380103e-09,-0.00892821033577678,-0.00429915362931142,"EIF4G1"
"chr4",742977,744411,1435,11,1.69095452925842e-09,2.09484916607558e-06,-0.0078711893530282,-0.00408772177749289,"PCGF3"
"chr2",45170663,45171242,580,6,2.10826468834489e-09,3.55623415436348e-08,-0.00924857913734366,-0.00822930986496229,"AC009236.2, LINC01121"
"chr8",26512591,26513837,1247,6,2.1994081988062e-09,1.39590458765849e-05,0.00874644496181032,0.00450621970411095,"PNMA2"
"chr3",179036512,179037409,898,5,2.42077989078768e-09,0.00042442991478878,-0.0084062904882366,-0.00416591584961041,"ZMAT3"
"chr5",154477725,154479407,1683,13,2.53454216353929e-09,6.92384687683819e-09,0.00700098372472075,0.00254927928219695,"HAND1"
"chr15",71545896,71547759,1864,9,2.64780231810076e-09,2.03803990983787e-07,-0.00874811229080766,-0.00580990759551488,"THSD4, AC108861.1"
"chr8",141237255,141238781,1527,8,2.90050175612191e-09,2.57708398705959e-08,-0.00769207415348947,-0.00474796939749553,"SLC45A4"
"chr16",81500967,81501476,510,4,2.9200666703976e-09,4.5174988153419e-07,-0.010196836914579,-0.00629740875327429,"CMIP"
"chr16",22813168,22814922,1755,16,3.27545352689106e-09,4.77755325805817e-07,0.00789682612331433,0.00232205592832752,"HS3ST2, AC130466.1"
"chr17",6755387,6756243,857,11,3.39087356476398e-09,0.000190280037884108,-0.0110655009316828,-0.00488241948556968,"XAF1"
"chr11",20363115,20364476,1362,20,3.42153042811145e-09,1.27950214166971e-06,0.00808273091278875,0.00311311540981136,"HTATIP2"
"chr2",196718542,196719210,669,6,3.57013294551983e-09,4.34081932703649e-08,-0.00750729500687113,-0.00528886956036524,"CCDC150"
"chr13",83880893,83882854,1962,16,3.83423264095791e-09,3.18293589571838e-06,0.00807869456475873,0.00236064593579127,"AL355481.1, SLITRK1"
"chr6",11732279,11732420,142,2,3.85270933898917e-09,2.93046281431982e-06,-0.00897497333083617,-0.00816298644978759,"ADTRP"
"chr6",158661990,158663567,1578,7,4.03520834680855e-09,5.04236389477655e-06,-0.00878429004603042,-0.00621388856673968,"SYTL3"
"chr10",69087005,69088126,1122,6,4.03783130800067e-09,3.06814500175265e-05,-0.0108020970612517,-0.00621959469206581,"SRGN"
"chr17",42286294,42288446,2153,14,4.12149832337328e-09,3.94158699825088e-08,-0.0102247687095887,-0.00408871620177839,"STAT5A"
"chr6",151807193,151809197,2005,30,4.47846151603345e-09,4.26043520501588e-08,0.00822534957981283,0.00234057432606619,"ESR1"
"chr17",48994977,48996632,1656,10,4.56272574838686e-09,0.000332072033076715,0.0061798963320988,0.00226392693462085,"AC091133.3"
"chr15",45200244,45201616,1373,15,4.66677975320162e-09,1.1501691442195e-08,0.00616824371925628,0.00400310325711126,"SHF, AC051619.7"
"chr10",22334284,22337313,3030,18,5.08771321576419e-09,5.80721435924858e-08,0.008789466734931,0.00369240287863119,""
"chr2",219308378,219309743,1366,12,5.73579342408873e-09,0.000180826951727982,0.00706685495943795,0.00243236156969433,"PTPRN"
"chr2",45005502,45008880,3379,11,6.10316120533693e-09,3.68428864372821e-12,-0.010516327238841,-0.0071790703561834,"SIX2"
"chr14",74425838,74426973,1136,7,6.28582792399876e-09,3.27747137210035e-07,0.0119294778693738,0.00464058535568238,"SYNDIG1L"
"chr14",35533235,35535958,2724,19,6.29874151375845e-09,2.43170884590203e-09,0.0058600400193569,0.00193715333462876,"INSM2"
"chr15",62560943,62561340,398,5,6.6881519986028e-09,6.93040216964158e-08,-0.0079809870545009,-0.00636051639828792,"TLN2"
"chr3",108090863,108091944,1082,11,6.72250867329538e-09,0.000737920615536253,0.00653072141311444,0.00221735777703543,"CD47"
"chr14",70002638,70003465,828,4,6.73697294772586e-09,1.68075146271523e-07,-0.00735753901240889,-0.0061022939738813,"SMOC1"
"chr20",1001980,1003168,1189,12,6.74740565084378e-09,8.28658815878345e-08,0.00554930223812431,0.0031153996512336,"RSPO4"
"chr11",86940183,86942024,1842,7,7.5260436339357e-09,3.34740168785212e-10,-0.00989668981728097,-0.00764532345359589,"PRSS23"
"chr11",44310578,44311642,1065,33,8.03941417703497e-09,2.06333584976411e-08,0.00774702534046373,0.00389489142008545,""
"chr8",26047398,26052083,4686,24,8.37102670898916e-09,7.93573415863994e-08,0.00845375779770957,0.00302727854747951,""
"chr17",76643138,76644173,1036,8,8.4695873989379e-09,3.97075885941363e-06,-0.00978803376479158,-0.0054666336217878,"ST6GALNAC1"
