Name	gene_name
cg16280241_BC21	CRY2
cg10114314_BC21	CRY2
cg01462418_BC21	CRY2
cg05079837_BC21	CRY2
cg13809236_BC22	CRY2
cg16280303_TC21	CRY2
cg16280302_TC21	CRY2
cg16280085_BC21	CRY2
cg16280081_TC21	CRY2
cg16280045_TC21	CRY2
cg16280003_BC21	CRY2
cg16279982_TC21	CRY2
cg16279981_BC21	CRY2
cg16279858_BC21	CRY2
cg16279854_BC21	CRY2
ch.11.939596F_BC21	CRY2
cg02318454_TC11	CYP11B1
cg21901156_TC21	CYP11B1
cg03516262_BC21	CYP11B1
cg17015994_BC21	CYP11B1
cg01942530_BC21	CYP11B1
cg03330425_BC21	CYP11B1
cg20073007_TC21	CYP11B1
cg08389266_TC21	CYP11B1
cg21298978_BC21	CYP11B1
cg18936261_BC21	CYP11B1
cg05874329_TC21	CYP11B1
cg16508499_BC21	CYP11B1
cg08888896_TC21	CYP11B1
cg10869957_TC11	CYP17A1
cg09201719_TC21	CYP17A1
cg24934431_BC21	CYP17A1
cg04471890_TC21	CYP17A1
cg05885577_TC21	CYP17A1
cg17932736_BC21	CYP17A1
cg27496231_TC21	CYP17A1
cg24525156_BC21	CYP17A1
cg10127942_TC21	CYP17A1
cg21330020_TC21	CYP17A1
cg15506069_TC21	CYP17A1
cg15506093_BC21	CYP17A1
cg10756593_TC21	CYP17A1
cg07809032_BC21	CYP17A1
cg15506165_TC21	CYP17A1
cg04036762_BC21	CYP17A1
cg15506129_BC21	CYP17A1
cg15506132_TC21	CYP17A1
cg15506127_BC21	CYP17A1
cg18518485_TC11	CYP21A2
cg24376689_TC11	CYP21A2
cg13817395_BC11	CYP21A2
cg09474017_TC11	CYP21A2
cg20858622_TC11	CYP21A2
cg11493661_BC11	CYP21A2
cg02553302_BC11	CYP21A2
cg04293778_TC11	CYP21A2
cg19455923_TC11	CYP21A2
cg14757339_BC11	CYP21A2
cg16195239_BC11	CYP21A2
cg27537915_TC11	CYP21A2
cg27643910_BC11	CYP21A2
cg13739666_BC11	CYP21A2
cg24165517_BC11	CYP21A2
cg09115485_TC11	CYP21A2
cg02432444_TC11	CYP21A2
cg15786918_TC11	CYP21A2
cg19964491_TC11	CYP21A2
cg15727424_BC21	CYP21A2
cg07481886_BC21	CYP21A2
cg09423875_TC21	CYP21A2
cg00721819_BC21	CYP21A2
cg15398152_BC21	CYP21A2
cg25375757_BC21	CYP21A2
cg13540981_TC21	CYP21A2
cg04182226_BC21	CYP21A2
cg22616343_BC21	CYP21A2
cg22474130_BC21	CYP21A2
cg07292442_TC21	CYP21A2
cg11554421_TC21	CYP21A2
cg12843528_BC21	CYP21A2
cg13665850_BC21	CYP21A2
cg18319635_TC21	CYP21A2
cg02647493_BC21	CYP21A2
cg11325576_BC21	CYP21A2
cg17484510_TC21	CYP21A2
cg22321671_BC21	CYP21A2
cg20152300_TC21	CYP21A2
cg02628680_BC21	CYP21A2
cg19879189_BC21	CYP21A2
cg08845025_BC21	CYP21A2
cg10500474_TC21	CYP21A2
cg05298224_BC21	CYP21A2
cg04841389_TC21	CYP21A2
cg07441854_BC21	CYP21A2
cg13771753_TC21	CYP21A2
cg08026412_BC21	CYP21A2
cg12286154_TC21	CYP21A2
cg15670990_TC21	CYP21A2
cg07520673_BC21	CYP21A2
cg11431261_BC21	CYP21A2
cg01716499_TC21	CYP21A2
cg02895581_BC21	CYP21A2
cg13409674_BC21	CYP21A2
cg23881278_TC11	DRD2
cg20016411_TC11	DRD2
cg19730798_BC11	DRD2
cg06778429_TC11	DRD2
cg20007462_TC11	DRD2
cg25424123_TC11	DRD2
cg26896904_BC11	DRD2
cg21330703_TC21	DRD2
cg12758687_BC21	DRD2
cg10777103_TC21	DRD2
cg22458194_BC21	DRD2
cg21683009_BC21	DRD2
cg12176709_TC21	DRD2
cg10561209_BC21	DRD2
cg00525373_BC21	DRD2
cg18288412_TC21	DRD2
cg08948964_BC21	DRD2
cg22842860_BC21	DRD2
cg18248586_TC21	DRD2
cg06399569_BC21	DRD2
cg14485083_BC21	DRD2
cg20424531_TC21	DRD2
cg26132809_TC21	DRD2
cg25022311_BC21	DRD2
cg05345697_BC21	DRD2
cg22404572_BC21	DRD2
cg16823554_BC21	DRD2
cg02816192_TC21	DRD2
cg24150631_BC21	DRD2
cg07011596_TC21	DRD2
cg21141217_TC21	DRD2
cg06854495_TC21	DRD2
cg02198192_BC21	DRD2
cg03608783_BC21	DRD2
cg20794462_BC21	DRD2
cg09729935_TC21	DRD2
cg18184876_BC21	DRD2
cg10565687_TC21	DRD2
cg25370012_BC21	DRD2
cg07838576_BC21	DRD2
cg25028849_TC21	DRD2
cg11323042_BC21	DRD2
cg19804476_BC21	DRD2
cg16906361_BC21	DRD2
cg03695081_BC21	DRD2
cg22196455_TC21	DRD2
cg15571053_BC21	DRD2
cg15215799_BC21	DRD2
cg12813402_BC21	DRD2
cg16906366_BC21	DRD2
cg17043723_BC21	DRD2
cg02332042_BC21	DRD2
cg01942285_BC21	DRD2
cg16906784_BC21	DRD2
cg16906783_TC21	DRD2
cg18147569_TC11	DRD3
cg18852618_BC21	DRD3
cg25836326_BC21	DRD3
cg24167473_BC21	DRD3
cg24958019_BC21	DRD3
cg04333485_BC21	DRD3
cg26358350_BC21	DRD3
cg01845356_TC21	DRD3
cg15912040_BC21	DRD3
cg08479865_TC21	DRD3
cg19839507_TC21	DRD3
cg26734779_BC21	DRD3
cg13347937_TC21	DRD3
cg05368196_TC21	DRD3
cg22253817_BC21	DRD3
cg13231894_BC21	DRD3
cg21958664_BC21	DRD3
cg02216060_BC21	DRD3
cg13210784_BC21	DRD3
cg20487528_BC21	DRD3
cg05367864_BC21	DRD3
cg09102257_TC11	EGR1
cg23951277_BC11	EGR1
cg19544946_TC11	EGR1
cg04616401_TC11	EGR1
cg24019521_TC11	EGR1
cg21138501_BC21	EGR1
cg26069252_BC21	EGR1
cg05229898_BC21	EGR1
cg13009654_TC21	EGR1
cg19729803_TC21	EGR1
cg07336840_TC21	EGR1
cg26819793_TC21	EGR1
cg06771363_BC21	EGR1
cg08519191_TC21	EGR1
cg22509422_BC21	EGR1
cg14798390_BC21	EGR1
cg09395034_TC21	EGR1
cg00850167_TC21	EGR1
cg04134935_BC21	EGR1
cg21569576_BC21	EGR1
cg22905973_BC21	EGR1
cg08588946_BC21	EGR1
cg08588954_TC21	EGR1
cg24458485_TC21	EGR1
cg12766556_BC21	EGR1
cg08588970_BC21	EGR1
cg08589302_BC21	EGR1
cg08589006_BC21	EGR1
cg01107476_BC21	EGR1
cg10913456_BC11	FKBP5
cg00140191_TC11	FKBP5
cg18726036_BC11	FKBP5
cg07944278_TC11	FKBP5
cg07843056_BC11	FKBP5
cg07485685_BC11	FKBP5
cg15929276_TC11	FKBP5
cg11845071_TC11	FKBP5
cg06937024_BC11	FKBP5
cg09421975_BC21	FKBP5
cg14284211_BC21	FKBP5
cg25994725_BC21	FKBP5
cg03546163_BC21	FKBP5
cg08636224_BC21	FKBP5
cg00862770_BC21	FKBP5
cg21626086_BC21	FKBP5
cg00130530_BC21	FKBP5
cg24295963_TC21	FKBP5
cg05741161_BC21	FKBP5
cg17085721_TC21	FKBP5
cg20813374_TC21	FKBP5
cg25114611_TC21	FKBP5
cg04791658_TC21	FKBP5
cg19014730_BC21	FKBP5
cg13719443_TC21	FKBP5
cg25563198_BC21	FKBP5
cg06087101_TC21	FKBP5
cg08915438_TC21	FKBP5
cg06409316_TC21	FKBP5
cg08586216_TC21	FKBP5
cg16912838_BC21	FKBP5
cg13344434_BC21	FKBP5
cg16012111_TC21	FKBP5
cg00610228_TC21	FKBP5
cg03591753_TC21	FKBP5
cg23873288_BC21	FKBP5
cg14642437_TC21	FKBP5
cg02665568_TC21	FKBP5
cg19226017_TC21	FKBP5
cg26868354_TC21	FKBP5
cg22211300_TC21	FKBP5
cg09422170_BC21	FKBP5
cg07061368_BC21	FKBP5
cg10780318_TC21	FKBP5
cg01294490_BC21	FKBP5
cg23416081_TC21	FKBP5
cg10300814_TC21	FKBP5
cg01321308_TC21	FKBP5
cg18357736_BC21	FKBP5
cg22363520_TC21	FKBP5
cg03245912_TC21	FKBP5
cg27545605_TC21	FKBP5
cg16005389_BC21	FKBP5
cg19267626_TC21	FKBP5
cg09421588_TC21	FKBP5
cg07643998_BC21	FKBP5
cg03098337_BC21	FKBP5
cg09421828_BC21	FKBP5
cg18961128_BC21	FKBP5
cg26495008_TC21	FKBP5
cg02837393_BC21	FKBP5
cg23149582_TC21	FKBP5
cg04137760_BC21	FKBP5
cg00767449_TC21	FKBP5
cg16570321_BC21	FKBP5
cg07498319_TC21	FKBP5
cg08642543_TC21	FKBP5
cg09268536_TC21	FKBP5
cg09421179_BC21	FKBP5
cg06239404_BC21	FKBP5
cg01839003_BC21	FKBP5
cg09421989_BC21	FKBP5
cg14339974_BC21	FKBP5
cg09420737_BC21	FKBP5
cg09420697_BC21	FKBP5
cg09420692_TC21	FKBP5
cg09420689_TC21	FKBP5
cg23416081_TC22	FKBP5
cg09422376_TC21	FKBP5
cg09420221_TC21	FKBP5
cg09422372_TC21	FKBP5
cg09422329_BC21	FKBP5
cg09421989_BC22	FKBP5
cg09420574_BC21	FKBP5
cg07633853_BC21	FKBP5
cg09421233_BC21	FKBP5
cg09421770_TC21	FKBP5
cg07696519_BC21	FKBP5
cg00051179_TC11	GABRA1
cg23702430_BC11	GABRA1
cg12340947_TC11	GABRA1
cg11499618_TC11	GABRA1
cg02065387_BC21	GABRA1
cg24523000_TC21	GABRA1
cg08066141_TC21	GABRA1
cg20492597_TC21	GABRA1
cg19176733_BC21	GABRA1
cg01086446_BC21	GABRA1
cg01069159_BC21	GABRA1
cg16355785_TC21	GABRA1
cg21757820_BC21	GABRA1
cg25338438_BC21	GABRA1
cg00850109_BC21	GABRA1
cg05982485_TC21	GABRA1
cg04525544_TC21	GABRA1
cg05044431_TC21	GABRA1
cg24860775_TC21	GABRA1
cg06907391_TC21	GABRA1
cg05144432_TC21	GABRA1
cg24554147_TC21	GABRA1
cg06418959_TC21	GABRA1
cg06479604_TC21	GABRA1
cg02322252_TC21	GABRA1
cg02469186_TC21	GABRA1
cg24842908_TC21	GABRA1
cg17932405_BC21	GABRA1
cg08798673_TC21	GABRA1
cg06758369_BC21	GABRA1
cg18939363_TC21	GABRA1
cg15501861_BC21	GABRA1
cg22172558_TC21	GABRA1
cg02570342_TC21	GABRA1
cg07082726_BC21	GABRA1
cg15169732_TC21	GABRA1
cg11092553_TC21	GABRA1
cg08798843_BC21	GABRA1
cg18643445_TC11	GABRB2
cg16509658_BC11	GABRB2
cg01138867_BC11	GABRB2
cg01101742_BC11	GABRB2
cg07763047_TC11	GABRB2
cg11252048_TC11	GABRB2
cg11042722_TC11	GABRB2
cg01939681_TC21	GABRB2
cg23050361_TC21	GABRB2
cg09482986_TC21	GABRB2
cg05518567_TC21	GABRB2
cg18794976_BC21	GABRB2
cg25986202_TC21	GABRB2
cg21242208_BC21	GABRB2
cg08159065_TC21	GABRB2
cg11676295_TC21	GABRB2
cg10037414_TC21	GABRB2
cg24171764_BC21	GABRB2
cg06600429_TC21	GABRB2
cg27310319_TC21	GABRB2
cg06056880_BC21	GABRB2
cg00524310_BC21	GABRB2
cg00252615_TC21	GABRB2
cg17673691_TC21	GABRB2
cg21034865_TC21	GABRB2
cg09540344_BC21	GABRB2
cg19971650_BC21	GABRB2
cg02268227_BC21	GABRB2
cg13282216_TC21	GABRB2
cg05024587_BC21	GABRB2
cg04744597_TC21	GABRB2
cg04055989_BC21	GABRB2
cg06455418_BC21	GABRB2
