"Name","gene_name","chr","pos","Relation_to_Island","UCSC_RefGene_Group"
"cg06046431_TC11","BDNF","chr11",27722943,"Island","TSS1500"
"cg25381667_TC11","BDNF","chr11",27722104,"Island","TSS200;TSS1500;TSS1500;TSS1500"
"cg17882499_BC11","BDNF","chr11",27700501,"Island","TSS1500;TSS200;TSS200;TSS200"
"cg21291635_TC11","BDNF","chr11",27700851,"Island","5UTR;exon_1;TSS1500;TSS1500;TSS1500;TSS1500"
"cg12296752_BC11","BDNF","chr11",27659664,"OpenSea","TSS200;TSS200"
"cg22128379_BC11","BDNF","chr11",27719931,"Shore","TSS1500"
"cg27193031_TC12","BDNF","chr11",27699541,"Shore","exon_1;5UTR"
"cg01225698_BC21","BDNF","chr11",27720808,"Shore","TSS1500;TSS200;TSS200;TSS200"
"cg16257091_BC21","BDNF","chr11",27722033,"Island","TSS200;TSS1500;TSS1500;TSS1500"
"cg27351358_BC21","BDNF","chr11",27721711,"Shore","exon_1;5UTR;TSS1500;TSS1500;TSS1500"
"cg04481212_TC21","BDNF","chr11",27718948,"Shore",""
"cg24650785_TC21","BDNF","chr11",27720369,"Shore","5UTR;exon_1;TSS1500"
"cg04106006_TC21","BDNF","chr11",27720907,"Shore","TSS1500;TSS200;TSS200;TSS200"
"cg10558494_BC21","BDNF","chr11",27699733,"Shore","TSS200"
"cg10635145_TC21","BDNF","chr11",27720888,"Shore","TSS1500;TSS200;TSS200;TSS200"
"cg25962210_TC21","BDNF","chr11",27699675,"Shore","TSS200"
"cg06816235_TC21","BDNF","chr11",27720672,"Island","5UTR;exon_1;5UTR;exon_1;5UTR;exon_1;TSS1500"
"cg01642653_TC21","BDNF","chr11",27721929,"Island","exon_1;5UTR;TSS1500;TSS1500;TSS1500"
"cg17413943_TC21","BDNF","chr11",27718280,"Shore",""
"cg20340655_TC21","BDNF","chr11",27701528,"Shore","5UTR;exon_1;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg08362738_TC21","BDNF","chr11",27701089,"Island","TSS1500;TSS1500;TSS1500;TSS1500;TSS200;TSS200;TSS200;TSS200;TSS200"
"cg24249411_TC21","BDNF","chr11",27723212,"Shore","TSS1500"
"cg12067298_BC21","BDNF","chr11",27702111,"Shore","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg01636003_BC21","BDNF","chr11",27701838,"Shore","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg26949694_TC21","BDNF","chr11",27720513,"Island","5UTR;exon_1;5UTR;exon_1;TSS1500"
"cg03167496_TC21","BDNF","chr11",27722072,"Island","TSS200;TSS1500;TSS1500;TSS1500"
"cg09505801_BC21","BDNF","chr11",27700462,"Island","TSS1500;TSS200;TSS200;TSS200"
"cg20108357_TC21","BDNF","chr11",27697431,"Shelf",""
"cg25328597_BC21","BDNF","chr11",27701091,"Island","TSS1500;TSS1500;TSS1500;TSS1500;TSS200;TSS200;TSS200;TSS200;TSS200"
"cg25156688_BC21","BDNF","chr11",27722507,"Island","TSS1500"
"cg12448003_TC21","BDNF","chr11",27720818,"Shore","TSS1500;TSS200;TSS200;TSS200"
"cg15014679_BC21","BDNF","chr11",27673663,"OpenSea",""
"cg03984780_TC21","BDNF","chr11",27701070,"Island","TSS1500;TSS1500;TSS1500;TSS1500;TSS200;TSS200;TSS200;TSS200;TSS200"
"cg25457956_BC21","BDNF","chr11",27722117,"Island","TSS200;TSS1500;TSS1500;TSS1500"
"cg23497217_BC21","BDNF","chr11",27701667,"Shore","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS200"
"cg00298481_TC21","BDNF","chr11",27700516,"Island","TSS1500;TSS200;TSS200;TSS200"
"cg16141574_BC21","BDNF","chr11",27658085,"OpenSea","exon_2;exon_2;exon_2;exon_2;exon_2;exon_3;exon_4;exon_2;exon_2;exon_3;exon_2;exon_2;exon_2;exon_2;exon_2;exon_2;exon_1"
"cg21010859_BC21","BDNF","chr11",27718614,"Shore",""
"cg07238832_TC21","BDNF","chr11",27659928,"OpenSea","TSS1500;TSS1500"
"cg11718030_TC21","BDNF","chr11",27722816,"Island","TSS1500"
"cg23330212_BC21","BDNF","chr11",27651150,"OpenSea",""
"cg06684850_TC21","BDNF","chr11",27720822,"Shore","TSS1500;TSS200;TSS200;TSS200"
"cg23619332_TC21","BDNF","chr11",27700513,"Island","TSS1500;TSS200;TSS200;TSS200"
"cg07704699_BC21","BDNF","chr11",27721285,"Shore","TSS1500;TSS1500;TSS1500"
"cg03747251_BC21","BDNF","chr11",27701175,"Shore","TSS1500;TSS1500;TSS1500;TSS1500;TSS200;TSS200;TSS200;TSS200"
"cg20954537_BC21","BDNF","chr11",27700121,"Island","TSS1500"
"cg15710245_TC21","BDNF","chr11",27701073,"Island","TSS1500;TSS1500;TSS1500;TSS1500;TSS200;TSS200;TSS200;TSS200;TSS200"
"cg15462887_BC21","BDNF","chr11",27722502,"Island","TSS1500"
"cg05218375_TC21","BDNF","chr11",27701671,"Shore","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS200"
"cg11806762_BC21","BDNF","chr11",27711411,"OpenSea",""
"cg01418645_BC21","BDNF","chr11",27657922,"OpenSea","exon_2;exon_2;exon_2;exon_2;exon_2;exon_3;exon_4;exon_2;exon_2;exon_3;exon_2;exon_2;exon_2;exon_2;exon_2;exon_2;exon_1"
"cg02613510_TC21","BDNF","chr11",27702242,"Shore","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg02527472_TC21","BDNF","chr11",27721801,"Shore","exon_1;5UTR;TSS1500;TSS1500;TSS1500"
"cg10022526_BC21","BDNF","chr11",27723010,"Island","TSS1500"
"cg24065044_BC21","BDNF","chr11",27701862,"Shore","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg05818894_TC21","BDNF","chr11",27718531,"Shore",""
"cg14291693_BC21","BDNF","chr11",27662412,"OpenSea",""
"cg04672351_TC21","BDNF","chr11",27701342,"Shore","5UTR;exon_1;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg18595174_TC21","BDNF","chr11",27680444,"OpenSea",""
"cg15914769_TC21","BDNF","chr11",27701227,"Shore","TSS1500;TSS1500;TSS1500;TSS1500;TSS200;TSS200;TSS200;TSS200"
"cg23426002_BC21","BDNF","chr11",27658182,"OpenSea","exon_2;exon_2;exon_2;exon_2;exon_2;exon_3;exon_4;exon_2;exon_2;exon_3;exon_2;exon_2;exon_2;exon_2;exon_2;exon_2;exon_1"
"cg25928860_BC21","BDNF","chr11",27694991,"OpenSea",""
"cg16709457_TC21","BDNF","chr11",27723814,"Shore",""
"cg07919246_TC21","BDNF","chr11",27673138,"OpenSea",""
"cg11865360_TC21","BDNF","chr11",27702818,"Shore","TSS1500"
"cg22288103_TC21","BDNF","chr11",27722107,"Island","TSS200;TSS1500;TSS1500;TSS1500"
"cg23143371_BC21","BDNF","chr11",27660468,"OpenSea","TSS1500;TSS1500"
"cg01546433_BC21","BDNF","chr11",27703548,"Shelf",""
"cg05847680_BC21","BDNF","chr11",27674720,"OpenSea",""
"cg02649626_BC21","BDNF","chr11",27725036,"Shelf",""
"cg02386994_BC21","BDNF","chr11",27658429,"OpenSea","exon_5;exon_4;exon_4;exon_5;exon_4;exon_2;exon_2;exon_2;exon_2;exon_2;exon_3;exon_4;exon_2;exon_2;exon_3;exon_2;exon_2;exon_2;exon_2;exon_2;exon_2;exon_1"
"cg26840770_BC21","BDNF","chr11",27701743,"Shore","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS200"
"cg08760147_BC21","BDNF","chr11",27663760,"OpenSea",""
"cg16142086_TC21","BDNF","chr11",27717005,"Shelf",""
"cg16142034_BC21","BDNF","chr11",27706135,"OpenSea",""
"cg06979684_TC21","BDNF","chr11",27655578,"OpenSea","3UTR;exon_2;3UTR;exon_2;3UTR;exon_2;3UTR;exon_2;3UTR;exon_2;3UTR;exon_3;3UTR;exon_4;3UTR;exon_2;3UTR;exon_2;3UTR;exon_3;3UTR;exon_2;3UTR;exon_2;3UTR;exon_2;3UTR;exon_2;3UTR;exon_2;3UTR;exon_2;3UTR;exon_1"
"cg12021170_TC21","BDNF","chr11",27660318,"OpenSea","TSS1500;TSS1500"
"cg07236904_TC11","CLOCK","chr4",55547062,"Island","TSS1500;TSS200"
"cg11774413_BC11","CLOCK","chr4",55546576,"Island","TSS1500"
"cg23506964_BC11","CLOCK","chr4",55547044,"Island","TSS1500;TSS200"
"cg27298069_BC11","CLOCK","chr4",55545932,"Island","5UTR;exon_1"
"cg25505393_TC11","CLOCK","chr4",55545944,"Island","TSS200"
"cg08033122_BC11","CLOCK","chr4",55547060,"Island","TSS1500;TSS200"
"cg19095271_TC11","CLOCK","chr4",55547171,"Island","TSS1500;TSS1500"
"cg19111910_BC11","CLOCK","chr4",55540911,"OpenSea",""
"cg17824860_TC11","CLOCK","chr4",55547235,"Shore","TSS1500;TSS1500"
"cg11569219_TC11","CLOCK","chr4",55547048,"Island","TSS1500;TSS200"
"cg09744584_TC11","CLOCK","chr4",55546713,"Island","TSS1500"
"cg21834420_BC11","CLOCK","chr4",55545959,"Island","TSS200"
"cg04485603_BC21","CLOCK","chr4",55510243,"OpenSea",""
"cg05960024_BC21","CLOCK","chr4",55509853,"OpenSea",""
"cg02613926_TC21","CLOCK","chr4",55510273,"OpenSea",""
"cg20260841_TC21","CLOCK","chr4",55553943,"OpenSea",""
"cg05826175_BC21","CLOCK","chr4",55435464,"OpenSea","exon_24;exon_23"
"cg18928811_BC21","CLOCK","chr4",55546171,"Island","TSS1500"
"cg25530661_TC21","CLOCK","chr4",55435409,"OpenSea","3UTR;exon_24;3UTR;exon_23"
"cg07500410_TC21","CLOCK","chr4",55546581,"Island","TSS1500"
"cg02683371_BC21","CLOCK","chr4",55432726,"OpenSea","3UTR;exon_24;3UTR;exon_23"
"cg00659990_BC21","CLOCK","chr4",55550914,"Shelf",""
"cg18470649_TC21","CLOCK","chr4",55477925,"OpenSea",""
"cg06085476_BC21","CLOCK","chr4",55547687,"Shore","TSS1500"
"cg25181236_TC21","CLOCK","chr4",55521108,"OpenSea",""
"cg19298990_TC21","CLOCK","chr4",55548318,"Shore","TSS1500"
"cg18539169_BC21","CLOCK","chr4",55502208,"OpenSea",""
"cg12219319_BC21","CLOCK","chr4",55548542,"Shore",""
"cg06587474_BC21","CLOCK","chr4",55449468,"OpenSea","exon_18;exon_17"
"cg10515766_TC21","CLOCK","chr4",55444721,"OpenSea","exon_20;exon_19"
"cg06764795_BC21","CLOCK","chr4",55518241,"OpenSea",""
"cg04200137_TC21","CLOCK","chr4",55501879,"OpenSea",""
"cg01937505_BC21","CLOCK","chr4",55541779,"OpenSea",""
"cg26535070_BC21","CLOCK","chr4",55458968,"OpenSea","exon_12;exon_11"
"cg15096653_BC21","CLOCK","chr4",55548344,"Shore","TSS1500"
"cg09847994_BC21","CLOCK","chr4",55525391,"OpenSea",""
"cg24796870_TC21","CLOCK","chr4",55511121,"OpenSea",""
"cg06588162_BC21","CLOCK","chr4",55542169,"Shelf",""
"cg15048607_BC21","CLOCK","chr4",55443854,"OpenSea","exon_21;exon_20"
"cg24004414_BC21","CLOCK","chr4",55503752,"OpenSea",""
"cg27132802_TC21","CLOCK","chr4",55545946,"Island","TSS200"
"cg08935434_BC21","CLOCK","chr4",55468744,"OpenSea",""
"cg24000108_TC21","CLOCK","chr4",55510164,"OpenSea",""
"cg08772927_BC21","CLOCK","chr4",55541856,"Shelf",""
"cg15929069_TC21","CLOCK","chr4",55554949,"OpenSea",""
"cg16125666_BC21","CLOCK","chr4",55548239,"Shore","TSS1500"
"cg19825305_TC21","CLOCK","chr4",55476095,"OpenSea",""
"cg19429538_BC21","CLOCK","chr4",55437720,"OpenSea",""
"cg13551643_BC21","CLOCK","chr4",55418240,"OpenSea",""
"cg08407670_BC21","CLOCK","chr4",55437713,"OpenSea",""
"cg12893431_BC21","CLOCK","chr4",55449474,"OpenSea","exon_18;exon_17"
"cg06588416_BC21","CLOCK","chr4",55554557,"OpenSea",""
"cg23601416_BC11","COMT","chr22",19962517,"OpenSea","5UTR;exon_3;TSS1500;TSS200"
"cg11032634_BC11","COMT","chr22",19941731,"Island","exon_1;exon_1;exon_1;exon_1;TSS200;TSS200"
"cg25663764_TC11","COMT","chr22",19978011,"Shore","exon_8"
"cg20709110_TC11","COMT","chr22",19959350,"OpenSea",""
"cg12175949_BC11","COMT","chr22",19941763,"Island","exon_1;exon_1;exon_1;exon_1;TSS200;TSS200"
"cg07019740_BC11","COMT","chr22",19941682,"Island","TSS200;TSS200"
"cg10253022_TC11","COMT","chr22",19941944,"Island","TSS200;TSS200;TSS200;TSS200"
"cg25836061_BC11","COMT","chr22",19951505,"OpenSea","TSS200"
"cg11361387_TC11","COMT","chr22",19962350,"OpenSea","5UTR;exon_3;TSS1500;TSS1500"
"cg26067913_TC11","COMT","chr22",19963237,"OpenSea","TSS1500"
"cg26067914_TC11","COMT","chr22",19963313,"OpenSea","TSS1500"
"cg24899205_TC11","COMT","chr22",19941661,"Island","TSS200;TSS200"
"cg03205258_BC11","COMT","chr22",19941751,"Island","exon_1;exon_1;exon_1;exon_1;TSS200;TSS200"
"cg26067942_BC11","COMT","chr22",19964254,"OpenSea","exon_5;exon_5;exon_5;exon_5;exon_3"
"cg22820354_BC21","COMT","chr22",19933643,"OpenSea","TSS200;TSS1500"
"cg15926585_TC21","COMT","chr22",19940922,"Shore","TSS1500;TSS1500"
"cg23268677_BC21","COMT","chr22",19941574,"Island","TSS200;TSS200"
"cg00107488_BC21","COMT","chr22",19942914,"Shore","TSS1500;TSS1500;TSS1500;TSS1500"
"cg15834517_BC21","COMT","chr22",19941591,"Island","TSS200;TSS200"
"cg27521571_TC21","COMT","chr22",19950901,"OpenSea","TSS1500;TSS200"
"cg06787004_BC21","COMT","chr22",19951458,"OpenSea","TSS200"
"cg11712482_TC21","COMT","chr22",19941144,"Shore","TSS1500;TSS1500"
"cg24547396_TC21","COMT","chr22",19941217,"Shore","TSS1500;TSS1500"
"cg18704527_BC21","COMT","chr22",19974519,"Shore",""
"cg04856117_BC21","COMT","chr22",19962378,"OpenSea","5UTR;exon_3;TSS1500;TSS200"
"cg13175282_TC21","COMT","chr22",19951018,"OpenSea","5UTR;exon_1;TSS1500"
"cg19964470_BC21","COMT","chr22",19933174,"OpenSea","TSS1500"
"cg08829877_TC21","COMT","chr22",19973309,"Island","exon_14"
"cg07194846_BC21","COMT","chr22",19942654,"Shore","TSS1500;TSS1500;TSS1500;TSS1500"
"cg00721193_BC21","COMT","chr22",19978850,"Shore",""
"cg09926649_BC21","COMT","chr22",19950573,"OpenSea","TSS1500;TSS1500"
"cg00465975_BC21","COMT","chr22",19942034,"Shore","TSS1500;TSS1500;TSS1500;TSS1500"
"cg19930203_BC21","COMT","chr22",19968758,"OpenSea","exon_6;3UTR;exon_6;3UTR;exon_6;3UTR;exon_6;3UTR;exon_4;3UTR"
"cg00886856_BC21","COMT","chr22",19972773,"Shore","exon_16"
"cg08289189_BC21","COMT","chr22",19949754,"OpenSea","TSS1500"
"cg08730070_TC21","COMT","chr22",19950855,"OpenSea","TSS1500;TSS200"
"cg12728623_TC21","COMT","chr22",19951469,"OpenSea","TSS200"
"cg22546130_TC21","COMT","chr22",19962503,"OpenSea","5UTR;exon_3;TSS1500;TSS200"
"cg06346307_BC21","COMT","chr22",19962442,"OpenSea","5UTR;exon_3;TSS1500;TSS200"
"cg06860277_BC21","COMT","chr22",19942549,"Shore","TSS1500;TSS1500;TSS1500;TSS1500"
"cg21905167_TC21","COMT","chr22",19962062,"OpenSea","TSS1500"
"cg12457376_BC21","COMT","chr22",19940538,"Shore","TSS1500;TSS1500"
"cg18731680_BC21","COMT","chr22",19966189,"OpenSea",""
"cg11219691_TC21","COMT","chr22",19979757,"Island","exon_6"
"cg01335087_BC21","COMT","chr22",19962643,"OpenSea","exon_3;exon_3;exon_3;exon_3;5UTR;exon_1;TSS1500"
"cg26067650_BC21","COMT","chr22",19950494,"OpenSea","TSS1500;TSS1500"
"cg27255659_TC21","COMT","chr22",19933779,"OpenSea","TSS1500;TSS1500"
"cg16097539_BC21","COMT","chr22",19961925,"OpenSea","TSS1500"
"cg27399558_TC21","COMT","chr22",19941093,"Shore","TSS1500;TSS1500"
"cg13248910_BC21","COMT","chr22",19957856,"OpenSea",""
"cg09112115_TC21","COMT","chr22",19935842,"OpenSea",""
"cg26513451_TC21","COMT","chr22",19954982,"OpenSea",""
"cg11388006_BC21","COMT","chr22",19933166,"OpenSea","TSS1500"
"cg04303964_BC21","COMT","chr22",19962038,"OpenSea","TSS1500"
"cg01633693_TC21","COMT","chr22",19942517,"Shore","TSS1500;TSS1500;TSS1500;TSS1500"
"cg26385674_TC21","COMT","chr22",19950935,"OpenSea","5UTR;exon_1;TSS1500"
"cg24164157_BC21","COMT","chr22",19942187,"Shore","TSS1500;TSS1500;TSS1500;TSS1500"
"cg07073234_BC21","COMT","chr22",19932551,"OpenSea","exon_1;5UTR"
"cg26394781_BC21","COMT","chr22",19932451,"OpenSea","exon_1;5UTR"
"cg14028877_TC21","COMT","chr22",19949758,"OpenSea","TSS1500"
"cg27449804_BC21","COMT","chr22",19963658,"OpenSea","exon_4;exon_4;exon_4;exon_4;exon_2;TSS200"
"cg12746246_BC21","COMT","chr22",19954277,"OpenSea",""
"cg09914785_TC21","COMT","chr22",19963210,"OpenSea","TSS1500"
"cg10025908_TC21","COMT","chr22",19932752,"OpenSea","TSS200"
"cg08825848_BC21","COMT","chr22",19943279,"Shore","TSS1500;TSS1500;TSS1500;TSS1500"
"cg24914853_BC21","COMT","chr22",19950613,"OpenSea","TSS1500;TSS1500"
"cg26067843_BC21","COMT","chr22",19959445,"OpenSea",""
"cg16918267_BC21","COMT","chr22",19951964,"OpenSea",""
"cg22906524_BC21","COMT","chr22",19973002,"Island","exon_15"
"cg03724721_TC21","COMT","chr22",19951538,"OpenSea","5UTR;exon_1"
"cg21919834_TC21","COMT","chr22",19961310,"OpenSea","TSS1500"
"cg07579946_TC21","COMT","chr22",19962370,"OpenSea","5UTR;exon_3;TSS1500;TSS200"
"cg06045576_BC21","COMT","chr22",19961434,"OpenSea","TSS1500"
"cg17675298_TC21","COMT","chr22",19973528,"Island",""
"cg18773129_BC21","COMT","chr22",19951393,"OpenSea","TSS200"
"cg07352953_BC21","COMT","chr22",19979609,"Shore",""
"cg26068064_TC21","COMT","chr22",19970362,"Shelf","3UTR;exon_20"
"cg26067724_BC21","COMT","chr22",19953670,"OpenSea",""
"cg26068278_TC21","COMT","chr22",19977541,"Shelf","exon_9"
"cg26068085_TC21","COMT","chr22",19971191,"Shore",""
"cg26067938_BC21","COMT","chr22",19964097,"OpenSea",""
"cg26067726_TC21","COMT","chr22",19953820,"OpenSea",""
"cg26067721_TC21","COMT","chr22",19953572,"OpenSea",""
"cg26067356_TC21","COMT","chr22",19935349,"OpenSea",""
"cg22739477_TC11","CREB1","chr2",207529788,"Island","TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200"
"cg05727155_BC11","CREB1","chr2",207530265,"Island",""
"cg03090513_TC11","CREB1","chr2",207529726,"Island","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg06691214_TC11","CREB1","chr2",207530115,"Island","5UTR;exon_1;5UTR;exon_1;5UTR;exon_1;exon_1;exon_1"
"cg19956940_TC11","CREB1","chr2",207529790,"Island","TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200"
"cg01724041_BC11","CREB1","chr2",207529242,"Island","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg10434707_BC11","CREB1","chr2",207529564,"Island","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg08862564_BC11","CREB1","chr2",207530345,"Island",""
"cg07623923_BC21","CREB1","chr2",207531172,"Shore",""
"cg10723020_TC21","CREB1","chr2",207529105,"Shore","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg18579327_TC21","CREB1","chr2",207530833,"Shore",""
"cg25158734_BC21","CREB1","chr2",207528608,"Shore","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg05019488_BC21","CREB1","chr2",207601010,"OpenSea","exon_9;3UTR;exon_8;3UTR;exon_7;3UTR;exon_8;3UTR;exon_9;3UTR;exon_10;exon_9;exon_9"
"cg10495393_BC21","CREB1","chr2",207538243,"OpenSea",""
"cg06629337_TC21","CREB1","chr2",207559427,"OpenSea",""
"cg07441773_BC21","CREB1","chr2",207521598,"OpenSea",""
"cg23761332_BC21","CREB1","chr2",207529232,"Island","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg16641411_BC21","CREB1","chr2",207531392,"Shore",""
"cg15684003_BC21","CREB1","chr2",207558000,"OpenSea","TSS1500"
"cg16107117_BC21","CREB1","chr2",207613167,"OpenSea","exon_4;exon_4;exon_4;exon_5;exon_4"
"cg15402961_TC21","CREB1","chr2",207558579,"OpenSea","TSS1500"
"cg13388531_BC21","CREB1","chr2",207613081,"OpenSea","exon_4;exon_4;exon_4;exon_5;exon_4"
"cg11129112_BC21","CREB1","chr2",207561725,"OpenSea",""
"cg11533257_BC21","CREB1","chr2",207613182,"OpenSea","exon_4;exon_4;exon_4;exon_5;exon_4"
"cg02443896_BC21","CREB1","chr2",207576563,"OpenSea",""
"cg25187763_TC21","CREB1","chr2",207571628,"OpenSea",""
"cg22026774_TC21","CREB1","chr2",207575374,"OpenSea","exon_6;exon_7;exon_6;exon_5;exon_6;exon_7;exon_7;exon_6;exon_6"
"cg01936702_TC21","CREB1","chr2",207528480,"Shore","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg08359777_TC21","CREB1","chr2",207597166,"OpenSea","exon_9;exon_8;exon_8;exon_9;3UTR;exon_8;3UTR;exon_7;3UTR;exon_8;3UTR;exon_9;3UTR"
"cg22211850_BC21","CREB1","chr2",207614077,"OpenSea",""
"cg25558653_TC21","CREB1","chr2",207613424,"OpenSea","exon_4;exon_4;exon_4;exon_5;exon_4"
"cg21390179_TC21","CREB1","chr2",207575318,"OpenSea","exon_6;exon_7;exon_6;exon_5;exon_6;exon_7;exon_7;exon_6;exon_6"
"cg02341080_TC21","CREB1","chr2",207558922,"OpenSea","TSS200;TSS1500"
"cg04066386_TC21","CREB1","chr2",207558938,"OpenSea","TSS200"
"cg05666620_TC21","CREB1","chr2",207602150,"OpenSea","exon_9;3UTR;exon_8;3UTR;exon_7;3UTR;exon_8;3UTR;exon_9;3UTR;exon_10;exon_9;exon_9"
"cg07684566_TC21","CREB1","chr2",207560267,"OpenSea","exon_3;exon_3;exon_3;exon_2;exon_3;exon_3;exon_3;exon_3;exon_3"
"cg02686491_BC21","CREB1","chr2",207529613,"Island","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg19353515_BC21","CREB1","chr2",207613999,"OpenSea",""
"cg11779501_BC21","CREB1","chr2",207602347,"OpenSea","exon_9;3UTR;exon_8;3UTR;exon_7;3UTR;exon_8;3UTR;exon_9;3UTR;exon_10;exon_9;exon_9"
"cg05019488_BC22","CREB1","chr2",207601010,"OpenSea","exon_9;3UTR;exon_8;3UTR;exon_7;3UTR;exon_8;3UTR;exon_9;3UTR;exon_10;exon_9;exon_9"
"cg04066117_TC21","CREB1","chr2",207533993,"Shelf",""
"cg19479609_TC21","CREB1","chr2",207525492,"Shelf",""
"cg04997275_TC21","CREB1","chr2",207558501,"OpenSea","TSS1500"
"cg04066654_TC21","CREB1","chr2",207602173,"OpenSea","exon_9;3UTR;exon_8;3UTR;exon_7;3UTR;exon_8;3UTR;exon_9;3UTR;exon_10;exon_9;exon_9"
"cg17305181_TC11","CRH","chr8",66178346,"Shore","5UTR;exon_1"
"cg21240762_BC11","CRH","chr8",66177153,"Island","exon_2"
"cg04041976_BC11","CRH","chr8",66173588,"Shelf",""
"cg02834846_TC11","CRH","chr8",66179232,"Shore","TSS1500"
"cg20329958_BC21","CRH","chr8",66178015,"Shore",""
"cg18640030_BC21","CRH","chr8",66178517,"Shore","TSS200"
"cg23027580_TC21","CRH","chr8",66177278,"Island","exon_2"
"cg04227637_BC21","CRH","chr8",66178687,"Shore","TSS1500"
"cg03405789_BC21","CRH","chr8",66176660,"Shore","3UTR;exon_2"
"cg16888621_BC21","CRH","chr8",66173631,"Shelf",""
"cg21878188_TC21","CRH","chr8",66177652,"Island",""
"cg24997986_BC21","CRH","chr8",66186671,"OpenSea",""
"cg08215831_TC21","CRH","chr8",66178541,"Shore","TSS200"
"cg00269606_BC21","CRH","chr8",66178693,"Shore","TSS1500"
"cg19035496_BC21","CRH","chr8",66178557,"Shore","TSS200"
"cg00468228_BC21","CRH","chr8",66180327,"Shelf",""
"cg23409074_TC21","CRH","chr8",66178563,"Shore","TSS200"
"cg00603617_TC21","CRH","chr8",66177596,"Island",""
"cg16664570_BC21","CRH","chr8",66179345,"Shore","TSS1500"
"cg11699476_TC21","CRH","chr8",66178674,"Shore","TSS1500"
